period;inflation_D;inflation_CPI;output;lab share
1979 Q3;0.072960465;0.062795236;269599;0.71388136
1979 Q4;0.041681147;0.032834595;272359;0.715965233
1980 Q1;0.04756607;0.034046652;269776;0.726818323
1980 Q2;0.045336001;0.032859483;264448;0.73855913
1980 Q3;0.036894673;0.029422833;264139;0.736892537
1980 Q4;0.042379976;0.022471964;261297;0.731680139
1981 Q1;0.026738165;0.027764779;261131;0.724191033
1981 Q2;0.017409714;0.028929199;261739;0.725087183
1981 Q3;0.016444967;0.024692032;264602;0.723447961
1981 Q4;0.02957321;0.022303547;264902;0.716376487
1982 Q1;0.022553258;0.019630652;265408;0.720378021
1982 Q2;0.009044501;0.016159941;268196;0.711333583
1982 Q3;0.015785888;0.013813792;268798;0.705500255
1982 Q4;0.020555859;0.013639949;270653;0.693826023
1983 Q1;0.017229782;0.012077228;275877;0.689023382
1983 Q2;-0.000387608;0.003400944;277790;0.694680676
1983 Q3;0.015383837;0.017031487;280996;0.682516136
1983 Q4;0.015507223;0.012969347;283096;0.679014063
1984 Q1;0.0022692;0.008611699;285469;0.687413235
1984 Q2;0.029209073;0.010018144;282605;0.682370545
1984 Q3;0.007877074;0.010446373;284676;0.686964568
1984 Q4;0.014217042;0.010580281;289829;0.674865653
1985 Q1;0.005136777;0.015457169;292612;0.676592435
1985 Q2;0.016302304;0.016781757;298873;0.657223643
1985 Q3;0.019019638;0.009128582;298814;0.664534112
1985 Q4;0.015221137;0.008465793;298979;0.664966679
1986 Q1;0.007296485;0.008485555;302117;0.671022639
1986 Q2;0.003287412;0.008026131;304797;0.681101296
1986 Q3;0.010952189;0.009525654;306708;0.679212742
1986 Q4;0.014206303;0.007638231;312615;0.663893064
1987 Q1;0.01317548;0.01050116;314804;0.662217771
1987 Q2;0.015304715;0.004356169;319478;0.652258761
1987 Q3;0.018914945;0.006528464;327346;0.638573313
1987 Q4;0.009659484;0.009911109;331075;0.644250659
1988 Q1;0.010283491;0.008621634;336442;0.643343247
1988 Q2;0.019631587;0.010470325;338186;0.644845585
1988 Q3;0.017646512;0.01395433;342414;0.641688148
1988 Q4;0.02117904;0.011805919;345162;0.641525686
1989 Q1;0.020054798;0.013062372;346836;0.637570409
1989 Q2;0.011389254;0.012912065;348997;0.645684903
1989 Q3;0.025149714;0.012126103;349572;0.64220851
1989 Q4;0.025597003;0.015579744;349523;0.644548521
1990 Q1;0.017759165;0.01595374;351299;0.650229751
1990 Q2;0.015509291;0.020490293;353663;0.651064686
1990 Q3;0.030928693;0.019998762;349780;0.652458366
1990 Q4;0.010280822;0.019338261;348006;0.654182712
1991 Q1;0.017943662;0.007738343;346292;0.661264459
1991 Q2;0.016227076;0.033267451;345892;0.666276233
1991 Q3;0.010214563;0.015079331;345216;0.67691042
1991 Q4;0.011709929;0.011196178;345643;0.678649949
1992 Q1;0.010584762;0.008361427;345523;0.680981158
1992 Q2;0.004035089;0.00709539;344987;0.675923149
1992 Q3;-0.001074104;0.003835755;346628;0.680611048
1992 Q4;0.005552303;0.007451511;349299;0.673607273
1993 Q1;0.019525755;0.005474006;351046;0.656405111
1993 Q2;-0.003280709;0.008753361;352612;0.664734343
